readiness_item,observed_status,readiness_passed,next_required_gate,qa_comment
step14c_gap_confirmed,true,True,covapie_small_pilot_manual_event_identity_curation_gate,Step 14C selected zero candidates due to missing event identity.
candidate_expansion_completed_current_step,true,True,covapie_small_pilot_manual_event_identity_curation_gate,Candidate expansion audit completed without raw reads.
expanded_event_candidates_written,true,True,covapie_small_pilot_manual_event_identity_curation_gate,Expanded candidate CSV/JSON written.
pdb_only_join_blocked,true,True,covapie_small_pilot_manual_event_identity_curation_gate,No candidate uses PDB-only join.
selected_for_manifest_rerun_count_recorded,0,True,covapie_small_pilot_manual_event_identity_curation_gate,Selected count controls next gate.
ready_for_small_pilot_download_manifest_rerun_gate,false,True,covapie_small_pilot_manual_event_identity_curation_gate,Requires at least 20 expanded candidates.
ready_for_small_pilot_download_smoke_false,false,True,covapie_small_pilot_manual_event_identity_curation_gate,Download smoke remains blocked in Step 14D.
ready_for_bulk_download_smoke_false,false,True,covapie_small_pilot_manual_event_identity_curation_gate,Bulk download remains blocked.
ready_for_actual_dataloader_false,false,True,covapie_small_pilot_manual_event_identity_curation_gate,Actual dataloader remains blocked.
training_still_blocked,false,True,covapie_small_pilot_manual_event_identity_curation_gate,Training remains blocked.
