evidence_source_name,evidence_source_path,evidence_source_exists,evidence_source_type,event_identity_authoritative,can_support_candidate_expansion,current_step_read_mode,evidence_source_inventory_passed,qa_comment
current_metadata_csv,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,True,metadata_csv,False,False,csv_header_and_rows_only,True,Metadata has PDB/ligand IDs but is not authoritative for event-level identity.
step14c_candidate_selection_audit,data/derived/covalent_small/covapie_small_pilot_download_manifest_gate_v0/covapie_small_pilot_candidate_selection_audit.csv,True,derived_csv,False,True,csv_read_only,True,Explains why Step 14C selected zero rows.
step14c_empty_small_pilot_manifest,data/derived/covalent_small/covapie_small_pilot_download_manifest_gate_v0/covapie_small_pilot_download_manifest.csv,True,derived_csv,False,True,csv_read_only,True,Confirms no download manifest rows were selected.
candidate_allowlist_qa_if_present,data/derived/covalent_small/covapie_candidate_allowlist_qa_gate_v0,True,optional_supporting,False,True,derived_csv_json_txt_md_read_only,True,Optional source missing or scanned safely; missing optional sources do not fail.
batch_raw_read_extraction_smoke_if_present,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0,True,authoritative_if_event_fields_present,True,True,derived_csv_json_txt_md_read_only,True,Optional source missing or scanned safely; missing optional sources do not fail.
batch_raw_read_extraction_qa_if_present,data/derived/covalent_small/covapie_batch_raw_read_extraction_qa_gate_v0,False,authoritative_if_event_fields_present,False,False,missing_optional_evidence_source,True,Optional source missing or scanned safely; missing optional sources do not fail.
real_covalent_confirmed_candidate_full_atom_extraction_if_present,data/derived/covalent_small/covapie_real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,False,authoritative_if_event_fields_present,False,False,missing_optional_evidence_source,True,Optional source missing or scanned safely; missing optional sources do not fail.
final_dataset_smoke_preview_if_present,data/derived/covalent_small/covapie_final_dataset_smoke_v0,True,supporting_only,False,True,derived_csv_json_txt_md_read_only,True,Optional source missing or scanned safely; missing optional sources do not fail.
metadata_dataloader_smoke_preview_if_present,data/derived/covalent_small/covapie_metadata_dataloader_smoke_v0,True,supporting_only,False,True,derived_csv_json_txt_md_read_only,True,Optional source missing or scanned safely; missing optional sources do not fail.
sample_index_smoke_preview_if_present,data/derived/covalent_small/covapie_sample_index_smoke_v0,True,supporting_only,False,True,derived_csv_json_txt_md_read_only,True,Optional source missing or scanned safely; missing optional sources do not fail.
step8_topology_evidence_export_if_present,data/derived/covalent_small/covapie_step8_topology_evidence_export_smoke_v0,False,authoritative_if_event_fields_present,False,False,missing_optional_evidence_source,True,Optional source missing or scanned safely; missing optional sources do not fail.
manual_event_identity_curation_required_policy,policy,True,policy,True,True,policy_declared,True,"If fewer than 20 authoritative candidates are expanded, manual curation is required."
