row_type,sample_id,sample_index,mask_level,expected_reactive_atom_region,filter_policy_name,allowed_filtered_atomic_numbers_for_this_gate,allowed_filtered_atom_symbols_for_this_gate,direct_ligand_contact_distance_a,ligand_reactive_contact_distance_a,production_filter_helper_created,production_adapter_modified,original_data_modified,original_pocket_atom_count,filtered_pocket_atom_count,removed_pocket_atom_count,removed_pocket_atom_numbers,removed_pocket_atom_symbols,removed_pocket_atom_indices,removed_pocket_atom_min_ligand_distances,removed_pocket_atom_ligand_reactive_distances,ligand_atom_count,ligand_atom_count_changed,post_filter_pocket_unknown_atom_count,post_filter_ligand_unknown_atom_count,all_remaining_pocket_atoms_in_checkpoint_10d_vocab,all_ligand_atoms_in_checkpoint_10d_vocab,checkpoint_compatible_batch_constructed_after_filter,ligand_feature_dim,pocket_feature_dim,ligand_one_hot_row_sums_valid_after_filter,pocket_one_hot_row_sums_valid_after_filter,ligand_unknown_atom_count_after_filter,pocket_unknown_atom_count_after_filter,filtered_pocket_atom_numbers,filtered_pocket_atom_symbols,no_synthetic_fallback_used,ligand_masks_unchanged_after_filter,ligand_reactive_atom_region_preserved,non_cys_reactive_residue_support_status,reaction_family_template_audit_required_before_broad_covalent_training,ligand_reconstruction_template_gate_required,real_covalent_noncheckpoint_pocket_atom_filter_gate_passed,real_covalent_filtered_feature_semantics_audit_allowed,real_covalent_single_optimizer_step_smoke_allowed,recommended_next_step,step12g_filter_policy_debug_validated,step12b_mask_level_aware_validator_validated,status,blocking_reasons
step12g_precondition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,passed,[]
filter_policy_contract,,,,,drop_non_checkpoint_vocab_pocket_atoms_before_checkpoint_compatible_one_hot,[12],"[""Mg""]",3.0,4.0,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
sample_filter_projection,BTK_C481_6DI9_pre_reaction,0,,,,,,,,,,,2306,2306,0,[],[],[],[],[],33,False,0,0,True,True,,,,,,,,,,,,,,,,,,,,,,passed,[]
sample_filter_projection,KRAS_G12C_5F2E_pre_reaction,1,,,,,,,,,,,1723,1722,1,[12],"[""Mg""]",[1455],[4.454363822937012],[6.30877685546875],30,False,0,0,True,True,,,,,,,,,,,,,,,,,,,,,,passed,[]
sample_filter_projection,KRAS_G12C_6OIM_pre_reaction,2,,,,,,,,,,,1613,1612,1,[12],"[""Mg""]",[1336],[4.893711090087891],[5.612326145172119],41,False,0,0,True,True,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,,A_warhead_only,target,,,,,,,,,,1,,,,,,,,,,,,,True,10,10,True,True,0,0,[12],"[""Mg""]",True,True,True,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,,B_linker_warhead,target,,,,,,,,,,1,,,,,,,,,,,,,True,10,10,True,True,0,0,[12],"[""Mg""]",True,True,True,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,,B2_scaffold_warhead,target,,,,,,,,,,1,,,,,,,,,,,,,True,10,10,True,True,0,0,[12],"[""Mg""]",True,True,True,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,,B3_scaffold_only,context,,,,,,,,,,1,,,,,,,,,,,,,True,10,10,True,True,0,0,[12],"[""Mg""]",True,True,True,,,,,,,,,,passed,[]
mask_level_filtered_conversion,,,C_scaffold_linker_warhead,target,,,,,,,,,,1,,,,,,,,,,,,,True,10,10,True,True,0,0,[12],"[""Mg""]",True,True,True,,,,,,,,,,passed,[]
non_cys_reaction_scope_boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schema_supported_but_template_audit_pending,True,True,,,,,,,passed,[]
decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,real_covalent_filtered_feature_semantics_audit,,,passed,[]
