contract_area,contract_item,expected,observed,passed
public_api,function_name,orchestrate_stage_admission_scope,orchestrate_stage_admission_scope,true
public_api,parameter_count,4,4,true
shared_types,class_identity,Exact4 shared identities,Exact4 shared identities,true
scope_membership,download_execution_permission,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,true
scope_membership,post_download_acceptance_permission,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,true
scope_membership,pre_final_split_acceptance_permission,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,true
scope_membership,training_execution_admission_permission,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,true
stage_result,schema_version,present,present,true
stage_result,scope_id,present,present,true
stage_result,candidate_count,present,present,true
stage_result,required_rule_ids,present,present,true
stage_result,stage_global_rule_ids,present,present,true
stage_result,candidate_rule_ids,present,present,true
stage_result,stage_global_rule_evaluations,present,present,true
stage_result,candidate_results,present,present,true
stage_result,dispatcher_call_count,present,present,true
stage_result,aggregator_call_count,present,present,true
stage_result,orchestration_io_used,present,present,true
stage_result,action_permission_granted,present,present,true
error_result,code,present,present,true
error_result,scope_id,present,present,true
error_result,candidate_index,present,present,true
error_result,admission_rule_id,present,present,true
error_result,dispatcher_call_count,present,present,true
error_result,aggregator_call_count,present,present,true
error_result,reason,present,present,true
error_result,cause_type,present,present,true
error_code,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,frozen,frozen,true
error_code,STAGE_ORCHESTRATION_CANDIDATE_INPUT_VECTOR_INVALID,frozen,frozen,true
error_code,STAGE_ORCHESTRATION_CANDIDATE_INPUT_INVARIANT_INVALID,frozen,frozen,true
error_code,STAGE_ORCHESTRATION_BATCH_CONTEXT_INVALID,frozen,frozen,true
error_code,STAGE_ORCHESTRATION_STAGE_AUTHORIZATION_CONTEXT_INVALID,frozen,frozen,true
error_code,STAGE_ORCHESTRATION_DISPATCH_ERROR,frozen,frozen,true
error_code,STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID,frozen,frozen,true
error_code,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,frozen,frozen,true
permission_boundary,action_permission_granted,false,false,true
