case_group,case_id,expected,observed,passed
positive_matrix,download_execution_permission:N=1:all_passed,11,11,true
aggregator_cardinality,download_execution_permission:N=1:all_passed,1,1,true
stage_global_identity_reuse,download_execution_permission:N=1:all_passed,true,true,true
normal_vector_identity,download_execution_permission:N=1:all_passed,true,true,true
positive_matrix,post_download_acceptance_permission:N=1:all_passed,13,13,true
aggregator_cardinality,post_download_acceptance_permission:N=1:all_passed,1,1,true
stage_global_identity_reuse,post_download_acceptance_permission:N=1:all_passed,true,true,true
normal_vector_identity,post_download_acceptance_permission:N=1:all_passed,true,true,true
positive_matrix,pre_final_split_acceptance_permission:N=1:all_passed,14,14,true
aggregator_cardinality,pre_final_split_acceptance_permission:N=1:all_passed,1,1,true
stage_global_identity_reuse,pre_final_split_acceptance_permission:N=1:all_passed,true,true,true
normal_vector_identity,pre_final_split_acceptance_permission:N=1:all_passed,true,true,true
positive_matrix,training_execution_admission_permission:N=1:all_passed,15,15,true
aggregator_cardinality,training_execution_admission_permission:N=1:all_passed,1,1,true
stage_global_identity_reuse,training_execution_admission_permission:N=1:all_passed,true,true,true
normal_vector_identity,training_execution_admission_permission:N=1:all_passed,true,true,true
positive_matrix,training_execution_admission_permission:N=3:all_passed,41,41,true
aggregator_cardinality,training_execution_admission_permission:N=3:all_passed,3,3,true
stage_global_identity_reuse,training_execution_admission_permission:N=3:all_passed,true,true,true
normal_vector_identity,training_execution_admission_permission:N=3:all_passed,true,true,true
no_normal_outcome_short_circuit,blocked,41/3,41/3,true
no_normal_outcome_short_circuit,invalid,41/3,41/3,true
no_normal_outcome_short_circuit,rejected,41/3,41/3,true
rejected_canonical,rejected,invalid|COMBINED_ADMISSION_RULE_EVALUATION_INVARIANT_INVALID|empty_diagnostics,invalid|COMBINED_ADMISSION_RULE_EVALUATION_INVARIANT_INVALID|empty_diagnostics,true
no_normal_outcome_short_circuit,rejected_plus_blocked,41/3,41/3,true
rejected_canonical,rejected_plus_blocked,invalid|COMBINED_ADMISSION_RULE_EVALUATION_INVARIANT_INVALID|empty_diagnostics,invalid|COMBINED_ADMISSION_RULE_EVALUATION_INVARIANT_INVALID|empty_diagnostics,true
prevalidation_zero_call_projection,invalid_scope_type,"('STAGE_ORCHESTRATION_SCOPE_ID_INVALID', -1, '', 0, 0, '', False, 0, 0, True)","('STAGE_ORCHESTRATION_SCOPE_ID_INVALID', -1, '', 0, 0, '', False, 0, 0, True)",true
stage_dispatch_exception_formula,download_execution_permission:ADMIT_014,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_014', 1, 0, 'RuntimeError', True, 1, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_014', 1, 0, 'RuntimeError', True, 1, 0, True)",true
candidate_dispatch_exception_formula,download_execution_permission:candidate=0:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_001', 2, 0, 'RuntimeError', True, 2, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_001', 2, 0, 'RuntimeError', True, 2, 0, True)",true
candidate_dispatch_exception_formula,download_execution_permission:candidate=0:position=5,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_005', 6, 0, 'RuntimeError', True, 6, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_005', 6, 0, 'RuntimeError', True, 6, 0, True)",true
candidate_dispatch_exception_formula,download_execution_permission:candidate=0:position=10,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_011', 11, 0, 'RuntimeError', True, 11, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_011', 11, 0, 'RuntimeError', True, 11, 0, True)",true
