ligand_atom_topology_row_id,review_row_id,pdb_id,expected_step8_sample_name,source_pre_reaction_sdf_path,source_pre_reaction_sdf_sha256,rdkit_atom_idx,atom_map_or_original_atom_id,atom_symbol,formal_charge,aromatic,hybridization,degree,explicit_valence,implicit_valence,is_covalent_ligand_endpoint_atom,warhead_group_status,linker_group_status,scaffold_group_status,export_source_stage,training_use_status
HR_0002_ATOM_0000,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,0,0,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0001,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,1,1,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0002,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,2,2,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0003,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,3,3,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0004,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,4,4,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0005,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,5,5,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0006,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,6,6,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0007,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,7,7,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0008,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,8,8,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0009,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,9,9,O,0,False,UNSPECIFIED,1,1,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0010,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,10,10,C,0,False,UNSPECIFIED,1,1,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0011,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,11,11,C,0,False,UNSPECIFIED,1,1,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0012,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,12,12,C,0,False,UNSPECIFIED,1,1,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0013,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,13,13,C,0,False,UNSPECIFIED,2,2,0,False,false,true,false,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0014,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,14,14,C,0,False,UNSPECIFIED,3,3,0,False,false,true,false,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0015,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,15,15,N,0,False,UNSPECIFIED,2,2,0,False,false,true,false,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0016,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,16,16,C,0,False,UNSPECIFIED,3,3,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0017,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,17,17,C,0,False,UNSPECIFIED,3,4,0,False,true,false,false,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0018,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,18,18,C,0,False,UNSPECIFIED,2,3,0,False,true,false,false,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0019,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,19,19,C,0,False,UNSPECIFIED,1,2,0,True,true,false,false,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0020,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,20,20,N,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0021,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,21,21,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0022,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,22,22,C,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0023,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,23,23,C,0,False,UNSPECIFIED,3,3,0,False,false,true,false,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0024,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,24,24,N,0,False,UNSPECIFIED,3,3,0,False,false,true,false,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0025,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,25,25,N,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_ATOM_0026,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,26,26,N,0,False,UNSPECIFIED,2,2,0,False,false,false,true,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
