ligand_bond_topology_row_id,review_row_id,pdb_id,expected_step8_sample_name,source_pre_reaction_sdf_path,source_pre_reaction_sdf_sha256,rdkit_bond_idx,begin_rdkit_atom_idx,end_rdkit_atom_idx,begin_atom_symbol,end_atom_symbol,bond_type,bond_order_numeric,is_aromatic,is_conjugated,is_in_ring,stereo,touches_covalent_ligand_endpoint,is_warhead_bond,is_linker_bond,is_scaffold_bond,export_source_stage,training_use_status
HR_0002_BOND_0000,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,0,0,1,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0001,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,1,0,20,C,N,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0002,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,2,0,25,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0003,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,3,1,16,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0004,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,4,1,21,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0005,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,5,2,3,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0006,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,6,2,7,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0007,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,7,2,25,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0008,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,8,3,4,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0009,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,9,4,5,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0010,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,10,5,6,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0011,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,11,5,8,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0012,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,12,6,7,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0013,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,13,8,9,C,O,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0014,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,14,8,26,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0015,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,15,10,27,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0016,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,16,11,27,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0017,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,17,12,27,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0018,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,18,13,24,C,N,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0019,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,19,13,28,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
