failure_code,failure_category,severity,skip_or_block,retryable,required_report_field,design_contract_passed
missing_raw_structure,source,error,skip_sample,True,missing_raw_structure_reason,True
unreadable_structure,source,error,skip_sample,True,unreadable_structure_reason,True
unsupported_file_format,source,error,skip_sample,False,unsupported_file_format_reason,True
missing_reactive_residue,chemistry_scope,blocking,skip_sample,False,missing_reactive_residue_reason,True
missing_reactive_residue_atom,chemistry_scope,blocking,skip_sample,False,missing_reactive_residue_atom_reason,True
non_cys_residue_currently_blocked,chemistry_scope,blocking,manual_review,False,non_cys_residue_currently_blocked_reason,True
missing_ligand,ligand,error,skip_sample,False,missing_ligand_reason,True
multiple_ligands_ambiguous,ligand,warning,manual_review,True,multiple_ligands_ambiguous_reason,True
missing_covalent_bond_evidence,evidence,blocking,manual_review,False,missing_covalent_bond_evidence_reason,True
missing_ligand_topology_evidence,topology,blocking,skip_sample,False,missing_ligand_topology_evidence_reason,True
ligand_atom_count_mismatch,topology,error,skip_sample,True,ligand_atom_count_mismatch_reason,True
ligand_bond_count_mismatch,topology,error,skip_sample,True,ligand_bond_count_mismatch_reason,True
missing_warhead_group,mask,blocking,manual_review,False,missing_warhead_group_reason,True
missing_linker_group,mask,blocking,manual_review,False,missing_linker_group_reason,True
missing_scaffold_group,mask,blocking,manual_review,False,missing_scaffold_group_reason,True
invalid_canonical_mask_set,mask,blocking,block_batch,False,invalid_canonical_mask_set_reason,True
feature_semantics_unknown,feature_semantics,blocking_for_training_not_batch_design,manual_review,False,feature_semantics_unknown_reason,True
unexpected_exception,runtime,error,skip_sample,True,unexpected_exception_reason,True
