output_item,allowed_current_step,allowed_future_smoke,file_type_policy,git_policy,design_contract_passed
per_sample_audit_csv,True,True,csv_only,track_small_csv,True
per_sample_failure_csv,True,True,csv_only,track_small_csv,True
aggregate_batch_report_csv,True,True,csv_only,track_small_csv,True
aggregate_manifest_json,True,True,json_only,track_small_json,True
summary_md,True,True,md_only,track_small_md,True
no_tensor_artifacts,True,True,no_tensor_files,forbid_tensor_artifacts,True
no_pt_npz_artifacts,True,True,forbid_pt_npz,forbid_large_binary,True
no_raw_copy_artifacts,True,True,forbid_raw_copy,do_not_track_raw,True
no_sdf_pdb_cif_generated_current_design,True,False,forbid_structure_generation_current_step,no_structure_files,True
no_large_binary_artifacts,True,True,forbid_large_binary,do_not_track_large_binary,True
output_root_is_data_derived_only,True,True,data_derived_csv_json_md_only,track_contract_artifacts,True
output_cleanup_policy,True,True,remove_failed_large_intermediates,no_large_intermediates,True
