git_safety_item,command_or_check,required_status,current_step_status,design_contract_passed
forbidden_suffix_check,"find output_root .pt,.ckpt,.pth,.pkl,.lmdb,.tar,.zip,.tgz,.npz,.pdb,.cif,.mmcif,.sdf,.mol2,.gz",no forbidden suffix artifacts,declared,True
raw_directory_not_staged,git diff --cached --name-only -- data/raw/covalent_sources,empty,declared,True
raw_directory_not_tracked,git ls-files data/raw/covalent_sources,empty,declared,True
protected_source_diff_empty,git diff -- equivariant_diffusion/ lightning_modules.py,empty,declared,True
original_dataloader_diff_empty,git diff -- dataset.py data/prepare_crossdocked.py,empty,declared,True
generated_large_file_check,find output_root large files,no large binaries,declared,True
git_status_before_stage,git status --short --untracked-files=all,only step files,declared,True
exact_file_stage_policy,git add explicit step files only,exact file list,declared,True
post_commit_clean_status,git status --short --untracked-files=all,clean,declared,True
no_bulk_rename_policy,git diff --name-status,no mass rename,declared,True
