policy_id,semantic_name,review_scope,preconditions,approval_effect,failure_effect,reason_code,fails_closed,verified
REVIEW_POLICY_001,candidate identity is not approval,class_and_sample,candidate identity verified,review package may open,all approval readiness remains closed,candidate_identity_is_not_approval,true,true
REVIEW_POLICY_002,family identity requires explicit human approval,family,identity unchanged; reviewer and rationale present; decision approve,approved reaction family becomes available,family availability remains false,family_human_approval_missing,true,true
REVIEW_POLICY_003,topology rule approval is separate from SMARTS approval,rule_topology,topology decision approve,topology pass may be recorded only,approved warhead rule remains false,topology_is_not_SMARTS_approval,true,true
REVIEW_POLICY_004,approved warhead rule requires approved SMARTS,warhead_rule,family and topology approved; approved SMARTS passes all checks,approved warhead rule becomes available,rule availability remains false,approved_SMARTS_missing,true,true
REVIEW_POLICY_005,SMARTS must match exact-one atom set,warhead_SMARTS,SMARTS match count equals one,SMARTS match-count condition passes,rule availability remains false,SMARTS_match_not_exact_one,true,true
REVIEW_POLICY_006,SMARTS must include known reactive ligand atom,warhead_SMARTS,unique match contains known reactive ligand atom,reactive-atom condition passes,rule availability remains false,SMARTS_excludes_reactive_atom,true,true
REVIEW_POLICY_007,warhead attachment boundary must be exact-one,warhead_SMARTS,nonempty warhead atom set has exactly one attachment boundary,boundary condition passes,rule availability remains false,warhead_attachment_boundary_not_exact_one,true,true
REVIEW_POLICY_008,sample assignment requires independent sample review,sample,sample decision approve; reviewer and rationale present,sample review may complete,sample gold remains false,sample_independent_review_missing,true,true
REVIEW_POLICY_009,quarantine overrides downstream readiness,class_and_sample,no linked class/rule/sample is quarantined,dependency evaluation may continue,all downstream readiness closes,quarantine_overrides_readiness,true,true
REVIEW_POLICY_010,gold requires approved family rule and sample assignment,sample_gold,family and rule available; sample approved; assignment identity unchanged,human gold review completes,human gold remains false,gold_dependencies_incomplete,true,true
REVIEW_POLICY_011,role proposal requires approved family rule and gold sample,role,family available; rule available; human gold complete,role proposal generation becomes ready,role proposal generation remains false,role_dependencies_incomplete,true,true
REVIEW_POLICY_012,training approval remains a separate future gate,training,independent future training-label gate approves,training label may become approved in a later stage,training label and training readiness remain false,independent_training_gate_missing,true,true
