failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,review_policy_registry_row_count,candidate_class_review_readiness_row_count,sample_assignment_review_readiness_row_count,role_proposal_generation_ready,mask_materialization_ready,model_integration_ready,training_ready,verified
BASE source missing,base_source_present=false,base_source_present,false,BASE_source_missing,BASE_source_missing,true,true,0,0,0,false,false,false,false,true
BASE source SHA mismatch,base_source_sha_matches=false,base_source_sha_matches,false,BASE_source_SHA_mismatch,BASE_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
assignment transaction not succeeded,assignment_transaction_succeeded=false,assignment_transaction_succeeded,false,assignment_transaction_not_succeeded,assignment_transaction_not_succeeded,true,true,0,0,0,false,false,false,false,true
candidate class count not 7,candidate_class_count=6,candidate_class_count,6,candidate_class_count_not_7,candidate_class_count_not_7,true,true,0,0,0,false,false,false,false,true
class index non-contiguous,class_indices_contiguous=false,class_indices_contiguous,false,class_index_non_contiguous,class_index_non_contiguous,true,true,0,0,0,false,false,false,false,true
Current11 assignment count not 11,assignment_count=10,assignment_count,10,Current11_assignment_count_not_11,Current11_assignment_count_not_11,true,true,0,0,0,false,false,false,false,true
duplicate class identity,duplicate_class_identity=true,duplicate_class_identity,true,duplicate_class_identity,duplicate_class_identity,true,true,0,0,0,false,false,false,false,true
duplicate sample identity,duplicate_sample_identity=true,duplicate_sample_identity,true,duplicate_sample_identity,duplicate_sample_identity,true,true,0,0,0,false,false,false,false,true
sample-rule-family-class link mismatch,links_match=false,links_match,false,sample_rule_family_class_link_mismatch,sample_rule_family_class_link_mismatch,true,true,0,0,0,false,false,false,false,true
assignment record SHA mismatch,assignment_record_sha_matches=false,assignment_record_sha_matches,false,assignment_record_SHA_mismatch,assignment_record_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
class review package incomplete,class_review_package_complete=false,class_review_package_complete,false,class_review_package_incomplete,class_review_package_incomplete,true,true,0,0,0,false,false,false,false,true
sample review package incomplete,sample_review_package_complete=false,sample_review_package_complete,false,sample_review_package_incomplete,sample_review_package_incomplete,true,true,0,0,0,false,false,false,false,true
review decision outside vocabulary,review_decision_valid=false,review_decision_valid,false,review_decision_outside_vocabulary,review_decision_outside_vocabulary,true,true,0,0,0,false,false,false,false,true
non-not-reviewed decision without reviewer,non_not_reviewed_has_reviewer=false,non_not_reviewed_has_reviewer,false,non_not_reviewed_decision_without_reviewer,non_not_reviewed_decision_without_reviewer,true,true,0,0,0,false,false,false,false,true
non-not-reviewed decision without rationale,non_not_reviewed_has_rationale=false,non_not_reviewed_has_rationale,false,non_not_reviewed_decision_without_rationale,non_not_reviewed_decision_without_rationale,true,true,0,0,0,false,false,false,false,true
family approved while identity decision not approve,family_approval_dependency_valid=false,family_approval_dependency_valid,false,family_approved_without_identity_approval,family_approved_without_identity_approval,true,true,0,0,0,false,false,false,false,true
rule topology approved while family not approved,topology_family_dependency_valid=false,topology_family_dependency_valid,false,topology_approved_without_family_approval,topology_approved_without_family_approval,true,true,0,0,0,false,false,false,false,true
warhead rule approved without SMARTS,approved_rule_has_smarts=false,approved_rule_has_smarts,false,approved_warhead_rule_without_SMARTS,approved_warhead_rule_without_SMARTS,true,true,0,0,0,false,false,false,false,true
SMARTS approved but empty,smarts_approved_nonempty=false,smarts_approved_nonempty,false,SMARTS_approved_but_empty,SMARTS_approved_but_empty,true,true,0,0,0,false,false,false,false,true
SMARTS match count zero,smarts_match_count=0,smarts_match_count,0,SMARTS_match_count_zero,SMARTS_match_count_zero,true,true,0,0,0,false,false,false,false,true
SMARTS match count multiple,smarts_match_count=2,smarts_match_count,2,SMARTS_match_count_multiple,SMARTS_match_count_multiple,true,true,0,0,0,false,false,false,false,true
SMARTS excludes reactive atom,smarts_includes_reactive_atom=false,smarts_includes_reactive_atom,false,SMARTS_excludes_reactive_atom,SMARTS_excludes_reactive_atom,true,true,0,0,0,false,false,false,false,true
warhead attachment boundary not exact-one,warhead_attachment_boundary_count=2,warhead_attachment_boundary_count,2,warhead_attachment_boundary_not_exact_one,warhead_attachment_boundary_not_exact_one,true,true,0,0,0,false,false,false,false,true
sample assignment approved while class quarantined,sample_approval_class_not_quarantined=false,sample_approval_class_not_quarantined,false,sample_approved_while_class_quarantined,sample_approved_while_class_quarantined,true,true,0,0,0,false,false,false,false,true
sample assignment approved while rule not approved,sample_approval_rule_approved=false,sample_approval_rule_approved,false,sample_approved_while_rule_not_approved,sample_approved_while_rule_not_approved,true,true,0,0,0,false,false,false,false,true
gold marked without complete human review,gold_dependency_valid=false,gold_dependency_valid,false,gold_marked_without_complete_human_review,gold_marked_without_complete_human_review,true,true,0,0,0,false,false,false,false,true
training label approved without gold,training_gold_dependency_valid=false,training_gold_dependency_valid,false,training_label_approved_without_gold,training_label_approved_without_gold,true,true,0,0,0,false,false,false,false,true
role readiness opened without approved family/rule/SMARTS,role_dependency_valid=false,role_dependency_valid,false,role_readiness_opened_without_approved_family_rule_SMARTS,role_readiness_opened_without_approved_family_rule_SMARTS,true,true,0,0,0,false,false,false,false,true
partial materialization attempted,partial_materialization_attempted=true,partial_materialization_attempted,true,partial_materialization_attempted,partial_materialization_attempted,true,true,0,0,0,false,false,false,false,true
execution boundary crossed,execution_boundary_crossed=true,execution_boundary_crossed,true,execution_boundary_crossed,execution_boundary_crossed,true,true,0,0,0,false,false,false,false,true
