source_path,BASE_SHA256,source_row_count,Current11_coverage,fields_actually_used,authority_class,verified
src/covalent_ext/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1.py,fe6c67940efef89290b2f276f9fb4c39245468181d52b219951a6f9ca7f454aa,1418,11/11,BASE/lifecycle and assignment record hash contract,predecessor_assignment_production_contract,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_cys_sg_warhead_type_candidate_class_vocabulary.csv,e78b83340d9df0afa6bbffd5dc56708ee47023680367f7a8acd9883e7c21602d,7,11/11,Exact7 stable class/family/rule identities and counts,candidate_class_vocabulary_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,11,11/11,sample identities; graph SHA; class/rule/family links; record SHA,Current11_candidate_assignment_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_assignment_review_readiness_matrix.csv,3405eb96ae610315a0a6f607267a2c2522fb2c1debec5f492c787d4e11e4d474,11,11/11,assignment identity and predecessor review-package readiness,predecessor_assignment_readiness_authority,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_manifest.json,5e5acefc9051fc07d3243917292f073fc09fb432a0eb0325fa8d344d37c0e265,1,11/11,successful predecessor transaction and output identities,predecessor_assignment_manifest,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_reaction_family_registry.csv,230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353,7,11/11,family semantic identity and canonical family JSON/SHA,candidate_reaction_family_registry,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,7,11/11,local-graph topology JSON/SHA and family linkage,candidate_warhead_rule_registry,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_current11_reaction_family_and_warhead_rule_design_matrix.csv,24ae0fbd2dc1454574d9ed17145ba71d3b3132ffecfb84a1a831eceb77efab03,11,11/11,radius-1 signature and candidate assignment support,Current11_reaction_family_rule_design_matrix,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_manifest.json,4603d124e2f90616ebf7d28975e0eeb77e3d4c90133688d87df2e30c9ac54ef9,1,11/11,"registry transaction, counts, and candidate-only boundary",registry_design_manifest,true
src/covalent_ext/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1.py,18e386ea0412d917d4e3d9f6c15374cdbd680ea243e7b51c0045ae889a215f8b,1642,11/11,approved family/rule prerequisite for downstream role proposals,downstream_role_and_seed_contract,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,323,11/11,reactive atom plus parent/observed graph identity,observed_to_parent_atom_mapping_authority,true
data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,11,11/11,sample/PDB/component/CYS-SG target identity,Current11_sample_index_authority,true
