blocker_item,expected_status,observed_status,blocker_preserved_in_all_rows,required_before_training,blocker_smoke_passed,qa_comment
feature_semantics_known_for_training_false,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
unknown_atom_feature_policy_not_finalized,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
scaffold_linker_warhead_annotation_required,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
warhead_type_label_required,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
ligand_residue_atom_pair_label_audit_required,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
pre_post_geometry_label_audit_required,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
pre_covalent_geometry_not_materialized,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
final_dataset_smoke_preview_only,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
no_real_final_dataset_written,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
no_dataloader_smoke,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
no_training_current_step,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
ready_for_training_false,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
step12d_smoke_not_final_feature_semantics_audit,preserved,preserved,True,True,True,training blocker preserved in smoke preview rows
