checkpoint_compatibility_item,expected_status,observed_status,risk_level,required_future_gate,checkpoint_compatibility_contract_passed
original_checkpoint_path_reference_only,reference_only,not loaded,medium,checkpoint_compatibility_smoke_before_model_runtime,True
checkpoint_not_loaded_current_step,not_loaded,not loaded,low,checkpoint_compatibility_smoke_before_model_runtime,True
no_model_forward_current_step,not_called,not called,high,model_forward_smoke_after_checkpoint_compatibility,True
original_diffsbbd_model_unchanged,no_diff,no diff,high,protected_source_qa_before_runtime,True
original_diffsbbd_dataloader_unchanged,no_diff,no diff,high,actual_dataloader_adapter_design_gate,True
future_adapter_must_preserve_existing_batch_keys,required,design requirement recorded,high,actual_dataloader_adapter_smoke,True
future_new_covapie_keys_must_be_additive,required,design requirement recorded,medium,actual_dataloader_adapter_smoke,True
future_loss_integration_requires_separate_gate,required,not integrated current step,high,loss_integration_design_gate,True
future_forward_integration_requires_separate_gate,required,not integrated current step,high,model_forward_integration_design_gate,True
checkpoint_compatibility_required_before_actual_smoke,required,blocked before actual smoke,high,checkpoint_compatibility_smoke_before_model_runtime,True
