batch_contract_item,future_batch_policy,current_step_status,checkpoint_compatibility_consideration,blocked_before_actual_dataloader_smoke,batch_collate_contract_passed
future_batch_sample_identity,preserve sample_id/final_dataset_row_id/extracted_event_id,design_only_no_collate_current_step,identity keys additive and checkpoint-safe,False,True
future_batch_split_unit_identity,preserve split_unit_id in batch metadata,design_only_no_collate_current_step,split unit must remain visible for leakage checks,False,True
future_batch_protein_coordinates,collate protein_xyz after tensorization audit,design_only_no_collate_current_step,coordinate tensor shape must not break checkpoint assumptions,True,True
future_batch_ligand_coordinates,collate ligand_xyz after tensorization audit,design_only_no_collate_current_step,coordinate tensor shape must not break checkpoint assumptions,True,True
future_batch_atom_features_blocked,block atom feature tensors until feature semantics finalized,design_only_no_collate_current_step,feature dimensionality affects checkpoint compatibility,True,True
future_batch_mask_selector,keep mask_task_name selector metadata,design_only_no_collate_current_step,string selector additive and checkpoint-safe,False,True
future_batch_mask_boolean_blocked,block boolean mask tensors until group labels materialized,design_only_no_collate_current_step,mask tensor shape affects runtime semantics,True,True
future_batch_auxiliary_labels_blocked,block auxiliary labels until semantics finalized,design_only_no_collate_current_step,new labels require additive keys and loss gate,True,True
future_batch_variable_size_collate_requires_torch_gate,variable-size collate requires separate torch gate,design_only_no_collate_current_step,collate_fn must be tested before model runtime,True,True
future_training_batch_blocked,training batch blocked,design_only_no_collate_current_step,"training requires feature semantics, checkpoint, forward, and loss gates",True,True
