adapter_design_item,future_design_policy,current_step_status,allowed_in_future_actual_dataloader_smoke,blocked_current_step,adapter_design_contract_passed
additive_adapter_under_src_covalent_ext,future adapter must be additive under src/covalent_ext,design_only_not_implemented,true_after_required_gate,True,True
no_direct_dataset_py_modification,dataset.py remains untouched,design_only_not_implemented,true_after_required_gate,True,True
no_direct_prepare_crossdocked_modification,data/prepare_crossdocked.py remains untouched,design_only_not_implemented,true_after_required_gate,True,True
future_torch_dataset_class_optional,torch Dataset class can be introduced only in a later actual-dataloader gate,design_only_not_implemented,true_after_required_gate,True,True
future_reads_metadata_smoke_or_final_dataset,future adapter reads approved derived metadata/final dataset artifacts,design_only_not_implemented,true_after_required_gate,True,True
future_reads_derived_atom_tables_only,"future adapter reads derived atom tables, not raw structures",design_only_not_implemented,true_after_required_gate,True,True
future_preserves_sample_identity,sample_id/final_dataset_row_id/extracted_event_id must be preserved,design_only_not_implemented,true_after_required_gate,True,True
future_preserves_split_unit_identity,split_unit_id remains explicit for leakage-safe batching,design_only_not_implemented,true_after_required_gate,True,True
future_preserves_canonical_mask_task_name,canonical long mask task name is source of truth,design_only_not_implemented,true_after_required_gate,True,True
future_emits_training_blocker_metadata,feature/training blockers travel with metadata until resolved,design_only_not_implemented,true_after_required_gate,True,True
future_checkpoint_compatible_batch_keys,future batch keys must remain compatible with existing checkpoint assumptions,design_only_not_implemented,true_after_required_gate,True,True
future_actual_dataloader_smoke_requires_separate_gate,actual dataloader smoke requires its own gate,design_only_not_implemented,true_after_required_gate,True,True
